[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 7.782 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 31.230 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 0.384 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 20.818 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 1.103 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 14.654 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 1.033 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 12.560 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.218 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 15.219 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.253 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 16.605 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.219 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 26.069 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.526 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 22.798 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.314 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 14.166 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.449 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 18.045 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.356 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 16.458 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/plan/trader_get_plan HTTP/1.1 [status]: 200 [response-time]: 6.716 ms [client]: PostmanRuntime/7.3.0
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.273 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 119.689 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 200 [response-time]: 0.194 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 7.455 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.123 - [method]: GET [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 200 [response-time]: 6.944 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.204 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 12.241 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.325 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 12.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/trader_get_plan HTTP/1.1 [status]: 200 [response-time]: 0.352 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/trader_get_product HTTP/1.1 [status]: 200 [response-time]: 0.243 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/trader_get_product HTTP/1.1 [status]: 304 [response-time]: 6.171 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/trader_get_plan HTTP/1.1 [status]: 200 [response-time]: 7.554 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.296 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 116.422 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.525 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 13.588 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 0.276 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 9.032 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 100.037 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-11.png HTTP/1.1 [status]: 304 [response-time]: 140.282 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-12.png HTTP/1.1 [status]: 304 [response-time]: 82.451 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.515 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 31.009 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.477 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 159.563 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/trader_get_plan HTTP/1.1 [status]: 200 [response-time]: 0.281 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/trader_get_product HTTP/1.1 [status]: 200 [response-time]: 0.184 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/trader_get_plan HTTP/1.1 [status]: 304 [response-time]: 423.405 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/trader_get_product HTTP/1.1 [status]: 304 [response-time]: 427.179 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/plant/researcher_add_product_plant HTTP/1.1 [status]: 404 [response-time]: 198.494 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.182 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 105.543 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.499 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 200 [response-time]: 0.343 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 45.147 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 304 [response-time]: 41.624 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 116.200 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 48.466 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 0.203 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 11.523 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-11.png HTTP/1.1 [status]: 304 [response-time]: 5.904 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-12.png HTTP/1.1 [status]: 304 [response-time]: 5.633 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/send_plan_se HTTP/1.1 [status]: 200 [response-time]: 0.333 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/plan/send_plan_se HTTP/1.1 [status]: 200 [response-time]: 42.880 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 0.457 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 26.073 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 0.277 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 10: 20] [ip]: ::ffff:192.168.0.127 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 8.698 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
